name,description,include,exclude,fqdns,external_data_set,external_data_ref
Any (0.0.0.0/0 and ::/0),,0.0.0.0/0;::/0,,,,
Link Local,,169.254.0.0/16,,,,
Internet,,0.0.0.0/0,10.0.0.0/8;172.16.0.0/12;192.168.0.0/16;fc00::/7;169.254.0.0/16;224.0.0.0/4;127.0.0.1,,,
Localhost,,127.0.0.1,,,,
